term,estimate,se,ci_low,ci_high
Intercept,0.38670321285361847,0.08588353512541752,0.21837457714281946,0.5550318485644175
number[T.singular],0.17230561668671857,0.005342321861597602,0.1618348582441663,0.18277637512927083
Year_z,-0.08772859332502629,0.016337146376994918,-0.11974881183409536,-0.05570837481595722
Year_z2,0.0323553382851064,0.009530814565236323,0.013675284993913434,0.05103539157629937
Group Var,12.88134543201908,4.9102051614500155,3.2575201588743674,22.505170705163792
Group x Year_z Cov,-0.39401097428309517,0.665246236284833,-1.697869638252191,0.9098476896860005
Year_z Var,0.4550868678727608,0.17774879028661003,0.10670564061544219,0.8034680951300794
Group x Year_z2 Cov,-0.5926808246128346,0.4169969070926439,-1.4099797441790116,0.2246180949533425
Year_z x Year_z2 Cov,-0.11777035605626326,0.07954175734752521,-0.27366933572443686,0.038128623611910356
Year_z2 Var,0.14348218197818535,0.060517275041545485,0.0248705024542515,0.2620938615021192
