Year,pred_plural,se_plural,ci_low_plural,ci_high_plural,pred_singular,se_singular,ci_low_singular,ci_high_singular
1980,0.6272322406425179,0.09112353434434375,0.44863011332760416,0.8058343679574317,0.7995378573292364,0.09112353434434373,0.6209357300143228,0.9781399846441501
1981,0.6104053079483444,0.09028469005467349,0.4334473154411843,0.7873633004555044,0.782710924635063,0.09028469005467346,0.6057529321279029,0.959668917142223
1982,0.5940640088494445,0.08957375751068421,0.4184994441285035,0.7696285735703856,0.7663696255361632,0.08957375751068418,0.5908050608152222,0.9419341902571041
1983,0.5782083433458184,0.08897843727853687,0.40381060627988613,0.7526060804117507,0.750513960032537,0.08897843727853684,0.5761162229666048,0.9249116970984692
1984,0.5628383114374659,0.0884863057139338,0.38940515223815564,0.7362714706367761,0.7351439281241844,0.08848630571393377,0.5617107689248741,0.9085770873234946
1985,0.5479539131243869,0.08808496497748428,0.37530738176851774,0.7206004444802561,0.7202595298111055,0.08808496497748425,0.5476129984552364,0.8929060611669747
1986,0.5335551484065817,0.08776218079038939,0.3615412740574185,0.705569022755745,0.7058607650933002,0.08776218079038936,0.533846890744137,0.8778746394424634
1987,0.5196420172840501,0.08750600468257277,0.3481302481062075,0.6911537864618927,0.6919476339707686,0.08750600468257275,0.520435864792926,0.8634594031486112
1988,0.5062145197567921,0.08730487880731738,0.33509695729445005,0.6773320822191342,0.6785201364435107,0.08730487880731735,0.5074025739811687,0.8496376989058527
1989,0.4932726558248078,0.08714772261547588,0.32246311949847506,0.6640821921511405,0.6655782725115263,0.08714772261547585,0.4947687361851937,0.836387808837859
1990,0.4808164254880971,0.08702400171469947,0.31024938212728614,0.6513834688489081,0.6531220421748156,0.08702400171469944,0.4825549988140047,0.8236890855356265
1991,0.46884582874666003,0.08692378004158202,0.29847521986515924,0.6392164376281608,0.6411514454333787,0.086923780041582,0.47078083655187797,0.8115220543148793
1992,0.45736086560049666,0.08683775703880386,0.28715886180444106,0.6275628693965523,0.6296664822872152,0.08683775703880384,0.4594644784911597,0.7998684860832708
1993,0.4463615360496069,0.08675729187289813,0.27631724397872653,0.6164058281204872,0.6186671527363254,0.08675729187289809,0.4486228606654452,0.7887114448072057
1994,0.43584784009399075,0.08667441688485732,0.26596598299967045,0.605729697188311,0.6081534567807093,0.08667441688485729,0.43827159968638907,0.7780353138750296
1995,0.4258197777336483,0.08658184247643676,0.25611936647983224,0.5955201889874644,0.5981253944203668,0.08658184247643673,0.42842498316655087,0.7678258056741828
1996,0.4162773489685795,0.08647295554119898,0.24679035610782948,0.5857643418293295,0.588582965655298,0.08647295554119894,0.4190959727945481,0.758069958516048
1997,0.40722055379878425,0.08634181338864927,0.2379905995570317,0.5764505080405368,0.5795261704855028,0.08634181338864924,0.4102962162437503,0.7487561247272554
1998,0.3986493922242627,0.08618313491347403,0.22973044779385363,0.5675683366546718,0.5709550089109813,0.08618313491347399,0.4020360644805723,0.7398739533413903
1999,0.3905638642450148,0.08599229055401539,0.22201897475914467,0.559108753730885,0.5628694809317334,0.08599229055401535,0.3943245914458633,0.7314143704176035
2000,0.38296396986104053,0.08576529238192658,0.21486399679246443,0.5510639429296167,0.5552695865477592,0.08576529238192655,0.3871696134791831,0.7233695596163352
2001,0.37584970907233994,0.08549878547964235,0.20827208953224094,0.5434273286124389,0.5481553257590585,0.0854987854796423,0.38057770621895953,0.7157329452991574
2002,0.36922108187891295,0.08519004160010715,0.20224860034270292,0.5361935634151229,0.5415266985656315,0.08519004160010711,0.3745542170294216,0.7084991801018414
2003,0.3630780882807596,0.08483695596647446,0.19679765458646967,0.5293585219750495,0.5353837049674781,0.08483695596647443,0.3691032712731882,0.701664138661768
2004,0.3574207282778799,0.08443804795757781,0.1919221542810274,0.5229193022747324,0.5297263449645985,0.08443804795757778,0.36422777096774606,0.6952249189614509
2005,0.35224900187027386,0.08399246633492488,0.1876237678538211,0.5168742358867267,0.5245546185569924,0.08399246633492484,0.3599293845405397,0.689179852573445
2006,0.3475629090579414,0.08349999959391967,0.18390290985385885,0.511222908262024,0.51986852574466,0.08349999959391963,0.35620852654057755,0.6835285249487425
2007,0.34336244984088266,0.08296109195936666,0.180758709600524,0.5059661900812413,0.5156680665276012,0.08296109195936661,0.35306432628724266,0.6782718067679598
2008,0.33964762421909755,0.08237686548460052,0.17818896786928054,0.5011062805689146,0.5119532409058161,0.08237686548460048,0.35049458455599913,0.673411897255633
2009,0.33641843219258605,0.08174914864418802,0.17619010084997755,0.49664676353519455,0.5087240488793046,0.08174914864418799,0.3484957175366961,0.6689523802219131
2010,0.3336748737613482,0.0810805117187449,0.1747570707926082,0.4925926767300882,0.5059804904480667,0.08108051171874486,0.3470626874793268,0.6648982934168066
2011,0.331416948925384,0.08037430914032159,0.17388330301035365,0.4889505948404143,0.5037225656121026,0.08037430914032155,0.34618891969707233,0.6612562115271329
2012,0.3296446576846934,0.07963472877727872,0.17356058928122714,0.4857287260881597,0.501950274371412,0.07963472877727867,0.3458662059679458,0.6580343427748783
2013,0.3283580000392765,0.07886684786315108,0.17377897822750038,0.48293702185105264,0.5006636167259951,0.07886684786315105,0.34608459491421906,0.6552426385377712
2014,0.32755697598913325,0.078076694884334,0.1745266540158386,0.4805872979624279,0.4998625926758518,0.07807669488433396,0.3468322707025573,0.6528929146491463
2015,0.3272415855342636,0.07727131620189853,0.17578980577854245,0.47869336528998474,0.49954720222098214,0.0772713162018985,0.34809542246526104,0.6509989819767033
2016,0.3274118286746676,0.07645884545675236,0.177552491579433,0.47727116576990225,0.4997174453613862,0.07645884545675233,0.3498581082661516,0.6495767824566208
2017,0.32806770541034525,0.07564857286067812,0.17979650260341612,0.47633890821727437,0.5003733220970639,0.0756485728606781,0.3521021192901348,0.6486445249039929
2018,0.3292092157412966,0.0748510102857109,0.18250123558130324,0.4759171959012899,0.5015148324280151,0.07485101028571087,0.3548068522680218,0.6482228125880084
2019,0.3308363596675215,0.07407794663307413,0.18564358426669622,0.47602913506834676,0.5031419763542401,0.07407794663307408,0.35794920095341487,0.6483347517550653
